"Nome società";"Nome del brand di consulenza ESG";"Sede 1";"Sede 2";"Sede 3";"Sito web";"Email";"Telefono";"Anno fondazione";"Anno di inizio dell'attività di consulenza Esg";"Fascia fatturato complessivo della società in Italia";"Fatturato derivante da attività di consulenza e servizi Esg svolti in Italia";"Cliente 1";"Cliente 2";"Cliente 3";"Cliente 4";"Cliente 5";"Progetto Esg particolarmente significativo portato a termine da un vostro cliente nel 2024";"Indicare le particolarità della società/brand nella consulenza Esg";"Fascia numero complessivo dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia";"Fascia numero dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia che svolgono attività in ambito Esg";"Purpose";"La società rendiconta le informazioni sui fattori ESG?";"Servizio 1";"Servizio 2";"Servizio 3";"Servizio 4";"Servizio 5";"Servizio 6";"Servizio 7";"Servizio 8";"Servizio 9";"Servizio 10";"Servizio 11";"Servizio 12";"Servizio 13";"Servizio 14";"Servizio 15";"Servizio 16";"Servizio 17";"Servizio 18";"Servizio 19";"Servizio 20";"Servizio 21";"Servizio 22";"Servizio 23";"Servizio 24";"Servizio 25";"Servizio 26";"Servizio 27";"Servizio 28"
"Pippo1";"Topolino 1";"Via, Milano 1";;;"www.eticanews.it";"info@eticanews.it";"+39 123456";2021;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"La nostra società di consulenza ambientale ed ESG offre analisi climatico-ambientali avanzate per investitori e aziende, con un approccio basato su dati, valutazioni di rischio e strategie di mitigazione. Oltre alla vendita di crediti di carbonio, supportiamo le imprese nella conformità normativa e nella transizione sostenibile, combinando expertise tecnica e soluzioni innovative per una crescita responsabile.";;;"Guidiamo imprese e investitori verso la sostenibilità, integrando rendicontazione ESG, strategie ambientali e azioni concrete per ridurre gli impatti, favorire la transizione ecologica e garantire crescita responsabile.";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";"Certificazione/asseverazione";"Comunicazione";;;"Compliance";;"Esg Data Management";"Efficientamento energetico";;;;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo2";;"Via, Milano 2";;;"www.eticanews.it";"info@eticanews.it";"+39 123457";2017;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"RELIFE";"DUFERCO";"PAUL WURTH";"ENEL X";"ALFATECH";"Economia circolare ambito rifiuti, plastica, carta";"team trasversale, composto da figure legal, economiche-finanziarie e ingegneristiche tecniche";"2 a 10";"2 a 10";"Facilitare la gestione dei rischi dei clienti, attraverso la fornitura di strumenti e di servizi sistemici e trasversali, che facciano progredire la conoscenza e l'autonomia dei clienti stessi ";"Non vi è rendicontazione sui fattori ESG";"Asseverazione bilanci di sostenibilità";"Carbon footprint & neutrality";"Certificazione/asseverazione";;"Consulenza Finanziaria";"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";"Third Party Opinion";"Waste management";"Water management";"Certificazioni ISO 26000 e 11919 per ESG nelle PI; altre ISO connesse all'ambito ESG, specie ambientali e EPD"
"Pippo3";"Topolino 3";"Via, Milano 3";;;"www.eticanews.it";"info@eticanews.it";"+39 123458";2023;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";;;;;;"Bilancio di sostenibilità consolidato";"Natù ESG offre consulenza pratica e accessibile su bilanci di sostenibilità, certificazioni e LCA, integrando soluzioni digitali come il software SuitYou! per semplificare la rendicontazione ESG. Affianca aziende di ogni dimensione con un approccio innovativo, combinando competenze tecniche, digitalizzazione, intelligenza artificiale e progetti di riforestazione ad alto impatto sociale.";"10 a 50";"2 a 10";"Natù ESG esiste per aiutare le imprese a integrare la sostenibilità nel proprio modello di business, rendendola semplice, accessibile e vantaggiosa, grazie a soluzioni digitali, consulenza mirata e progetti ambientali ad alto impatto sociale.";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;;;"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";;;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;
"Pippo4";"Topolino 4";"Via, Milano 4";;;"www.eticanews.it";"info@eticanews.it";"+39 123459";2019;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"Boggi";"Timex Group";"Colmar";"Filpucci";"Canclini";"Abbiamo stabilito le basi per ridurre l'impatto aziendale di Timex Group tramite il calcolo della carbon footprint e LCA di prodotto, un piano di decarbonizzazione, l'analisi della water footprint, il bilancio di sostenibilità e la revisione del sistema di rating dei fornitori.";"La nostra verticalità nei settori moda, beauty e lusso permette ai nostri clienti di usufruire dell’esperienza di chi ha avuto sfide e necessità simili. 

Le aziende con cui lavoriamo ci riconoscono di poter essere un punto di riferimento unico per tutte le esigenze di sostenibilità, dalla decarbonizzazione alla compliance alla comunicazione. 

Diamo una garanzia di soddisfazione: il tasso di gradimento medio espresso dai nostri clienti è di 4.8/5.";"2 a 10";"2 a 10";"Aiutiamo le aziende di moda a disegnare, mettere in pratica e comunicare le pratiche di sostenibilità più efficaci e basate sui dati.";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;"Comunicazione";;;"Compliance";;"Esg Data Management";;;"HR & formazione";;"Life Cycle Assessment";;"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;
"Pippo5";;"Via, Milano 5";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123460";2018;;"Compreso tra 5.000.000 € e 10.000.000 €";"Inferiore a 250.000 €";"Newlat";"Wool and the gang";"Change Now";"Solar Airship";;"Calcolo dell'impronta di carbonio delle attività di Newlat.";"ClimateSeed offre servizi di consulenza e software per ottimizzare la misurazione e la riduzione della carbon footprint o contribuire in modo sicuro e trasparente a progetti di carbon removal e avoidance, minimizzando i rischi per le aziende. I nostri esperti supportano aziende di tutte le dimensioni nella raccolta, analisi e verifica dei dati relativi alle loro emissioni, offrendo un' assistenza completa nel loro percorso di transizione verso l' obiettivo delle emissioni net-zero.";"2 a 10";"2 a 10";"Il nostro purpose aziendale consiste nella contribuzione alla lotta contro il cambiamento
climatico, supportando le organizzazioni nel raggiungimento dei loro obiettivi di sostenibilità e di emissioni net zero, attraverso un approccio trasparente.";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;;;"Consulenza su società benefit";;;;;;;;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo6";"Topolino 6";"Via, Milano 6";;;"www.eticanews.it";"info@eticanews.it";"+39 123461";2019;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 1.000.000 € e 2.500.000 €";"BPER";"TIM";"Poste Italiane";"Trevi Finanziaria";"Revo Insurance";"Piano Strategico ESG Revo Insurance";"Settore assicurativo/Insurtech";"10 a 50";"10 a 50";;"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";"Consulenza Finanziaria";;;;;;"Governance Esg";;"Investor relation";;;;"Rating di sostenibilità e Esg (supporto)";;;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;
"Pippo7";"Topolino 7";"Via, Milano 7";;;"www.eticanews.it";"info@eticanews.it";"+39 123462";2011;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"Master Group Sport";"Trentino Marketing";"Super Studio Events";"Anvideas";"Smart eventi";"Da 10 anni sviluppiamo progetti di certificazione ISO20121 gestione sostenibile degli eventi 
Offriamo formazione, consulenza e assistenza per la comprensione, applicazione e sviluppo dei temi ESG nella gestione
Coinvolgiamo gli stakeholder con una progettazione condivisa per sviluppare progetti win-win e lasciare eredità positive di lungo periodo";"LOCOM affianca i Clienti per la progettazione e gestione del percorso di sviluppo della responsabilità in tutte le aree ESG.
Abbiamo competenze ed esperienze trasversali, collaboriamo con Partner con skills specifici per il monitoraggio di temi sociali ed ambientali.
Sviluppiamo attività di engagement con gli stakeholder, curiamo il dettaglio dei contenuti della comunicazione con linguaggi, toni e canali adeguati ai destinatari.";;;"Promuovere la cultura della SOSTENIBILITÀ come leva di differenziazione.";"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";;;"Compliance";;;;"Governance Esg";;;;;;"Rating di sostenibilità e Esg (supporto)";;;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;"gestione sostenibile"
"Pippo8";"Topolino 8";"Via, Milano 8";;;"www.eticanews.it";"info@eticanews.it";"+39 123463";1994;2018;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"x";"x";"x";"x";"x";"Percorso esg strategico con trasformazione in società benefit";"Lunga esperienza manageriale e professionale in ambito ESG, visione strategica combinata a soluzioni operative, approccio tailor-made.";;;"Guido le aziende nella transizione sostenibile con un approccio strategico tailormade.";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";;"Carbon footprint & neutrality";;;;"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"Fractional Executive, Advisory Board"
"Pippo9";"Topolino 9";"Via, Milano 9";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123464";2000;2010;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"Garfiche Sabbioni";"ISE Cablaggi";"Solfer Componenti";"Cardinalini";"Riccini";"Analisi LCA di un prodotto a fine vita e simulazione di un Nuovo prodotto. Per un Progetto LCA per sviluppo sostenibile: analisi comparativa tra prodotto attuale e nuovo design eco-friendly. Valutati impatti ambientali lungo il ciclo di vita. Ottimizzato il nuovo prodotto per ridurre emissioni, consumi e migliorare la circolarità dei materiali.";"La consulenza di ITER Consulting per le PMI si basa su 4 pilastri integrati: Lean Management, per snellire processi e ridurre gli sprechi; Sustainability Management, per integrare la sostenibilità nei modelli di business; System Management, per gestire Processi e Sistemi Aziendali in modo integrato; Innovation Factory 5.0, per accompagnare le imprese verso la Riduzione Costi, la Sostenibilità, L'integrazione dei Processi e l’innovazione tecnologica e umana, valorizzando le  persone.";;;"Accompagnare le imprese nel loro percorso di crescita e trasformazione, promuovendo un modello di sviluppo sostenibile, efficiente e umano. Integrando sistemi gestionali orientati alla Lean alla sostenibilità, alla sicurezza e all’innovazione.
";"Non vi è rendicontazione sui fattori ESG";"Asseverazione bilanci di sostenibilità";"Carbon footprint & neutrality";"Certificazione/asseverazione";"Comunicazione";;"Consulenza su società benefit";"Compliance";;"Esg Data Management";;"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;"Waste management";;"Lean Management - System Mangement"
"Pippo10";;"Via, Milano 10";;;"www.eticanews.it";"info@eticanews.it";"+39 123465";2021;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"Sono affrontati diversi ambiti che distinguono l'attività di consulenza offerta come ad esempio: interdisciplinarità (si trattano aspetti legali, economici, sociali e ambientali, quindi è fondamentale avere un approccio multidisciplinare). In particolare vengono integrate competenze di diritto societario, ambientale, del lavoro, finanziario e della compliance normativa. Si offre il costante aggiornamento del quadro normativo ESG nazionale e internazionale (CSRD, SFDR, Taxonomy Regulation).";;;"Aiutiamo le imprese nell’integrare i principi di sostenibilità e di compliance normativa, trasformando gli obblighi ESG in opportunità di crescita e valore. Si aiutano le aziende a navigare il complesso panorama normativo, garantendo trasparenza.";"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;;;"Comunicazione";;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";;;"Governance Esg";"HR & formazione";"Investor relation";;;"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;"Third Party Opinion";;;
